epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2151,0,108.037,0,0,0,0,0,0,427.585,0,0.000542744,0.000542744,0.000542744
2,31.7861,0,82.5066,0,0,0,0,0,0,57.2448,0,0.00104404,0.00104404,0.00104404
3,49.2549,0,68.9429,0,0,0,0,0,0,63.4894,0,0.00149032,0.00149032,0.00149032
4,65.0558,0,54.9906,0,0,0,0,0,0,55.3055,0,0.00141945,0.00141945,0.00141945
5,81.113,0,42.317,0,0,0,0,0,0,40.7466,0,0.00133693,0.00133693,0.00133693
6,96.9965,0,32.224,0,0,0,0,0,0,33.72,0,0.00125442,0.00125442,0.00125442
7,113.507,0,24.2336,0,0,0,0,0,0,25.5281,0,0.0011719,0.0011719,0.0011719
8,128.663,0,18.344,0,0,0,0,0,0,819.533,0,0.00108938,0.00108938,0.00108938
9,142.819,0,13.8016,0,0,0,0,0,0,15.0957,0,0.00100687,0.00100687,0.00100687
10,156.892,0,10.3534,0,0,0,0,0,0,10.8442,0,0.000924352,0.000924352,0.000924352
11,175.812,0,7.87119,0,0,0,0,0,0,8.56231,0,0.000841835,0.000841835,0.000841835
12,190.327,0,6.12484,0,0,0,0,0,0,6.2109,0,0.000759318,0.000759318,0.000759318
13,204.691,0,4.87223,0,0,0,0,0,0,4.99826,0,0.000676802,0.000676802,0.000676802
14,219.232,0,3.94403,0,0,0,0,0,0,4.28375,0,0.000594286,0.000594286,0.000594286
15,233.464,0,3.24884,0,0,0,0,0,0,3.52347,0,0.000511769,0.000511769,0.000511769
16,248.064,0,2.75062,0,0,0,0,0,0,7.73513,0,0.000429253,0.000429253,0.000429253
17,263.781,0,2.38904,0,0,0,0,0,0,2.87732,0,0.000346736,0.000346736,0.000346736
18,280.509,0,2.13283,0,0,0,0,0,0,2.4908,0,0.00026422,0.00026422,0.00026422
19,295.109,0,1.95978,0,0,0,0,0,0,2.844,0,0.000181703,0.000181703,0.000181703
20,310.08,0,1.86092,0,0,0,0,0,0,2.20643,0,9.91865e-05,9.91865e-05,9.91865e-05
