epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.343,1.14134,1.63869,1.09099,0.77166,0.66205,0.75324,0.50859,1.07527,1.54573,1.27394,0.00041507,0.00041507,0.00041507
2,216.016,1.09907,1.07039,1.06463,0.82266,0.70792,0.79661,0.53038,1.1074,1.22561,1.27692,0.000790566,0.000790566,0.000790566
3,319.617,1.09357,0.98252,1.06,0.80474,0.73737,0.80209,0.55947,0.99848,0.97884,1.19296,0.00112481,0.00112481,0.00112481
4,423.815,1.07368,0.8986,1.05248,0.83367,0.76833,0.83863,0.58125,0.99108,0.8925,1.16625,0.00106437,0.00106437,0.00106437
5,527.736,1.02987,0.8246,1.03042,0.85528,0.77009,0.8515,0.61056,0.91992,0.76564,1.12661,0.0010025,0.0010025,0.0010025
6,628.663,1.00143,0.7706,1.01676,0.81805,0.77183,0.83794,0.60264,0.90745,0.78835,1.12479,0.000940625,0.000940625,0.000940625
7,731.258,0.98136,0.74281,1.0099,0.85591,0.76558,0.85508,0.62542,0.87588,0.68178,1.09204,0.00087875,0.00087875,0.00087875
8,834.508,0.95265,0.71016,1.00409,0.86959,0.8092,0.87082,0.63707,0.82721,0.62721,1.0587,0.000816875,0.000816875,0.000816875
9,936.855,0.94188,0.68475,0.994,0.84352,0.8403,0.88283,0.65983,0.79887,0.58142,1.03921,0.000755,0.000755,0.000755
10,1037.77,0.92733,0.66914,0.98902,0.86636,0.82591,0.88265,0.65767,0.81263,0.56096,1.04282,0.000693125,0.000693125,0.000693125
11,1139.77,0.88726,0.62377,0.96635,0.85221,0.83014,0.8913,0.66883,0.78698,0.56057,1.02765,0.00063125,0.00063125,0.00063125
12,1238.85,0.86552,0.60007,0.95565,0.90573,0.80966,0.89189,0.67432,0.7621,0.54068,1.00955,0.000569375,0.000569375,0.000569375
13,1336.2,0.84311,0.57273,0.94597,0.87031,0.82293,0.89173,0.678,0.74663,0.53055,1.00318,0.0005075,0.0005075,0.0005075
14,1436.01,0.82548,0.55369,0.9397,0.84566,0.82897,0.89222,0.68387,0.72784,0.5111,0.98993,0.000445625,0.000445625,0.000445625
15,1534.11,0.80284,0.53321,0.9301,0.86227,0.82838,0.89457,0.68951,0.71648,0.50526,0.97405,0.00038375,0.00038375,0.00038375
16,1631.97,0.79495,0.51866,0.92662,0.87106,0.83683,0.89484,0.69466,0.68615,0.49033,0.958,0.000321875,0.000321875,0.000321875
17,1727.09,0.77566,0.50433,0.91753,0.86474,0.86132,0.90281,0.70087,0.68529,0.47496,0.95712,0.00026,0.00026,0.00026
18,1824.79,0.75361,0.4871,0.90545,0.88311,0.8509,0.90215,0.70566,0.6713,0.45232,0.94035,0.000198125,0.000198125,0.000198125
19,1921.65,0.74094,0.47197,0.90361,0.88876,0.85874,0.91189,0.71682,0.65984,0.43781,0.93867,0.00013625,0.00013625,0.00013625
20,2020.55,0.72697,0.46177,0.89905,0.89907,0.84387,0.90912,0.71612,0.64655,0.43211,0.92899,7.4375e-05,7.4375e-05,7.4375e-05
