epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.961,1.14134,1.63869,1.09099,0.77166,0.66205,0.75324,0.50859,1.07527,1.54573,1.27394,0.00041507,0.00041507,0.00041507
2,212.681,1.10459,1.08006,1.06944,0.79197,0.71115,0.8019,0.54607,1.08637,1.15636,1.26767,0.000815269,0.000815269,0.000815269
3,315.83,1.10163,0.99124,1.06626,0.81219,0.71604,0.79842,0.54466,1.02315,1.23911,1.20915,0.00119897,0.00119897,0.00119897
4,417.503,1.09179,0.90982,1.0603,0.84072,0.73678,0.81633,0.56383,1.0052,0.93095,1.19628,0.00117575,0.00117575,0.00117575
5,520.322,1.05149,0.84129,1.0403,0.82281,0.7888,0.84049,0.60358,0.93327,0.80569,1.14994,0.001151,0.001151,0.001151
6,623.906,1.02653,0.78975,1.02878,0.84275,0.75596,0.83624,0.59519,0.91124,0.79169,1.11874,0.00112625,0.00112625,0.00112625
7,726.797,1.0058,0.76767,1.02069,0.83387,0.79147,0.85312,0.61352,0.91379,0.74955,1.12634,0.0011015,0.0011015,0.0011015
8,830.115,0.97704,0.73218,1.01353,0.84638,0.78716,0.8642,0.62581,0.85907,0.69345,1.08053,0.00107675,0.00107675,0.00107675
9,934.37,0.97096,0.71771,1.00897,0.85486,0.82099,0.87227,0.63788,0.86117,0.62538,1.08077,0.001052,0.001052,0.001052
10,1038.36,0.96726,0.70751,1.00684,0.86127,0.79741,0.87256,0.64129,0.84775,0.63973,1.07944,0.00102725,0.00102725,0.00102725
11,1141.29,0.94717,0.69229,1.00155,0.86381,0.7999,0.86721,0.63834,0.85875,0.6328,1.07044,0.0010025,0.0010025,0.0010025
12,1243.04,0.94006,0.67432,0.99155,0.86569,0.8046,0.87294,0.64791,0.82222,0.62058,1.05356,0.00097775,0.00097775,0.00097775
13,1345.31,0.93775,0.67803,0.99482,0.86984,0.82644,0.88729,0.66243,0.80292,0.59247,1.037,0.000953,0.000953,0.000953
14,1446.11,0.91338,0.64507,0.9804,0.88052,0.81601,0.8893,0.6706,0.7709,0.54127,1.01673,0.00092825,0.00092825,0.00092825
15,1547.78,0.90197,0.63935,0.98167,0.87451,0.82203,0.88369,0.66409,0.7779,0.55614,1.02529,0.0009035,0.0009035,0.0009035
16,1648.56,0.90097,0.63565,0.98209,0.86603,0.81905,0.89225,0.6687,0.78522,0.55873,1.03253,0.00087875,0.00087875,0.00087875
17,1752.03,0.89547,0.62949,0.98119,0.88935,0.82907,0.89601,0.67677,0.77238,0.53614,1.01818,0.000854,0.000854,0.000854
18,1855.12,0.88658,0.61919,0.97165,0.88826,0.83531,0.89858,0.67953,0.75452,0.52035,1.00276,0.00082925,0.00082925,0.00082925
19,1958.67,0.87184,0.6039,0.97052,0.89133,0.8375,0.89973,0.68694,0.73575,0.50895,0.98919,0.0008045,0.0008045,0.0008045
20,2061.86,0.86435,0.59587,0.96464,0.88346,0.83428,0.90191,0.68167,0.75446,0.51861,0.99947,0.00077975,0.00077975,0.00077975
21,2163.67,0.85499,0.58864,0.96324,0.90085,0.81805,0.89656,0.68599,0.74854,0.50786,1.00467,0.000755,0.000755,0.000755
22,2264.4,0.84768,0.57553,0.95532,0.88669,0.84149,0.89681,0.68656,0.73166,0.50797,0.98712,0.00073025,0.00073025,0.00073025
23,2365.46,0.84263,0.56994,0.95734,0.88142,0.84151,0.90115,0.69119,0.7388,0.49661,0.99111,0.0007055,0.0007055,0.0007055
24,2467.78,0.83487,0.57232,0.95764,0.8651,0.85347,0.90534,0.70006,0.71554,0.47483,0.97583,0.00068075,0.00068075,0.00068075
25,2570.33,0.8418,0.56214,0.95226,0.88922,0.84583,0.90667,0.6992,0.71785,0.49548,0.98161,0.000656,0.000656,0.000656
26,2672.41,0.8234,0.5507,0.94824,0.89174,0.85764,0.91135,0.69892,0.73391,0.47976,0.99113,0.00063125,0.00063125,0.00063125
27,2772.7,0.82388,0.54815,0.94777,0.90522,0.85434,0.91199,0.70875,0.70201,0.46979,0.96395,0.0006065,0.0006065,0.0006065
28,2874.49,0.81396,0.54286,0.94689,0.90004,0.86088,0.91097,0.71166,0.70283,0.45756,0.97068,0.00058175,0.00058175,0.00058175
29,2976.39,0.80703,0.53914,0.94385,0.87766,0.85858,0.90804,0.70684,0.69902,0.46817,0.96747,0.000557,0.000557,0.000557
30,3078.7,0.79455,0.52769,0.93788,0.87232,0.85871,0.90906,0.70886,0.7071,0.47292,0.97183,0.00053225,0.00053225,0.00053225
31,3178.37,0.79917,0.53009,0.93993,0.90206,0.85118,0.91684,0.71798,0.70797,0.46937,0.97685,0.0005075,0.0005075,0.0005075
32,3281.49,0.79345,0.52498,0.93948,0.90461,0.86116,0.91186,0.71776,0.69012,0.45972,0.9629,0.00048275,0.00048275,0.00048275
33,3386.27,0.78368,0.51536,0.93519,0.89735,0.86372,0.91707,0.72436,0.6852,0.45173,0.96331,0.000458,0.000458,0.000458
34,3490.74,0.78125,0.50857,0.93177,0.88942,0.8583,0.91368,0.72051,0.6812,0.44923,0.9619,0.00043325,0.00043325,0.00043325
35,3592.35,0.77116,0.4982,0.92717,0.88872,0.86798,0.91759,0.72184,0.68435,0.43557,0.95754,0.0004085,0.0004085,0.0004085
36,3692.31,0.76478,0.49498,0.92892,0.90511,0.86246,0.92034,0.72665,0.67141,0.43926,0.94909,0.00038375,0.00038375,0.00038375
