epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.2122,1.20418,1.88252,0.99724,0.00269,0.80147,0.10651,0.08931,0.77184,30.1126,0.6759,0.000649123,0.000649123,0.000649123
2,33.057,1.05,0.94065,0.94672,0.31518,0.59559,0.27083,0.21015,0.69675,25.014,0.7042,0.00125066,0.00125066,0.00125066
3,48.5352,0.99242,0.81503,0.93637,0.33136,0.65441,0.32175,0.2482,0.68591,34.0615,0.71795,0.00178619,0.00178619,0.00178619
4,63.7356,0.95924,0.74541,0.92455,0.28668,0.83629,0.30097,0.22824,0.66467,57.6748,0.71361,0.001703,0.001703,0.001703
5,77.8293,1.0054,0.71104,0.93078,0.31734,0.93382,0.32562,0.24113,0.74123,68.81,0.73296,0.001604,0.001604,0.001604
6,92.1436,0.95357,0.65783,0.92024,0.31997,0.94118,0.38538,0.28602,0.68907,120.378,0.72311,0.001505,0.001505,0.001505
7,107.312,0.92634,0.62683,0.91921,0.34483,0.93382,0.35299,0.2675,0.62645,101.278,0.697,0.001406,0.001406,0.001406
8,122.183,0.90663,0.59308,0.90929,0.33931,0.96324,0.38961,0.31368,0.5653,95.6536,0.70123,0.001307,0.001307,0.001307
9,137.105,0.90414,0.57812,0.90792,0.33962,0.92647,0.35171,0.27437,0.62257,96.249,0.71044,0.001208,0.001208,0.001208
10,151.469,0.88057,0.54322,0.90471,0.33706,0.95588,0.48203,0.38232,0.6201,101.632,0.70742,0.001109,0.001109,0.001109
11,170.922,0.88752,0.5628,0.90011,0.33426,0.93382,0.4622,0.36262,0.61614,103.656,0.71888,0.00101,0.00101,0.00101
12,184.904,0.88834,0.54036,0.89874,0.31519,0.91912,0.46337,0.36614,0.60384,101.646,0.70286,0.000911,0.000911,0.000911
13,197.829,0.84064,0.51094,0.88734,0.33024,0.94118,0.41762,0.33497,0.56818,102.519,0.70064,0.000812,0.000812,0.000812
14,212.276,0.8489,0.49963,0.89224,0.32823,0.94118,0.35051,0.27816,0.59953,97.2628,0.69744,0.000713,0.000713,0.000713
15,226.897,0.82766,0.49272,0.88729,0.33265,0.88971,0.34372,0.27214,0.59668,94.223,0.70213,0.000614,0.000614,0.000614
16,240.592,0.82566,0.47479,0.89065,0.33172,0.95588,0.40446,0.32738,0.57705,100.703,0.69987,0.000515,0.000515,0.000515
17,254.972,0.8012,0.45829,0.88272,0.33216,0.93623,0.38222,0.31267,0.56417,103.245,0.69691,0.000416,0.000416,0.000416
18,269.12,0.80109,0.45105,0.88295,0.35226,0.88373,0.4921,0.4038,0.57678,97.9746,0.70118,0.000317,0.000317,0.000317
19,284.02,0.79194,0.43879,0.88099,0.35657,0.89706,0.38053,0.30754,0.5659,107.968,0.69602,0.000218,0.000218,0.000218
20,297.966,0.76531,0.42277,0.86807,0.33992,0.90878,0.43773,0.36363,0.55615,109.195,0.69032,0.000119,0.000119,0.000119
