epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1821,1.07934,2.00376,1.06299,0.98547,0.62041,0.9334,0.64306,0.94439,2.61209,0.94127,0.000657534,0.000657534,0.000657534
2,55.4744,1.00567,1.18723,0.99631,0.9535,0.92073,0.97059,0.70732,0.93733,1.28738,0.99672,0.00125865,0.00125865,0.00125865
3,82.0706,1.02862,0.99565,1.00712,0.6278,0.89993,0.6492,0.46378,0.9975,1.31414,1.0218,0.00179377,0.00179377,0.00179377
4,107.185,0.97577,0.85997,0.99906,0.91567,0.92697,0.97043,0.70327,0.91519,1.01474,1.00324,0.001703,0.001703,0.001703
5,133.309,0.96033,0.75795,0.9969,0.9357,0.93173,0.9682,0.73529,0.87478,0.79373,0.98908,0.001604,0.001604,0.001604
6,160.517,0.92376,0.69013,0.98237,0.94569,0.98171,0.9869,0.76275,0.85895,0.66056,0.95867,0.001505,0.001505,0.001505
7,186.444,0.8976,0.65733,0.96772,0.95977,0.97256,0.98623,0.76665,0.8413,0.60951,0.95057,0.001406,0.001406,0.001406
8,212.452,0.85915,0.5981,0.9643,0.98439,0.96951,0.9891,0.77052,0.81655,0.54123,0.9494,0.001307,0.001307,0.001307
9,239.305,0.83026,0.56975,0.94597,0.97851,0.97191,0.98855,0.77081,0.80289,0.5611,0.94394,0.001208,0.001208,0.001208
10,265.359,0.8429,0.57346,0.95969,0.98887,0.97561,0.99034,0.77766,0.80847,0.51769,0.91563,0.001109,0.001109,0.001109
11,293.294,0.78275,0.52583,0.93109,0.99369,0.96646,0.98693,0.78911,0.79028,0.53577,0.93357,0.00101,0.00101,0.00101
12,318.604,0.78547,0.51823,0.9339,0.98317,0.97256,0.99295,0.76791,0.86216,0.50432,0.95547,0.000911,0.000911,0.000911
13,344.186,0.76974,0.48332,0.92612,0.9866,0.97866,0.99188,0.78028,0.81595,0.48596,0.92851,0.000812,0.000812,0.000812
14,368.059,0.74448,0.47188,0.9187,0.97148,0.9939,0.98948,0.80674,0.74214,0.44459,0.92101,0.000713,0.000713,0.000713
15,393.713,0.72932,0.44699,0.91391,0.99384,0.98358,0.992,0.81037,0.72569,0.43169,0.90474,0.000614,0.000614,0.000614
16,419.68,0.70071,0.4342,0.897,0.98772,0.98122,0.99242,0.81327,0.72548,0.41731,0.89455,0.000515,0.000515,0.000515
17,443.266,0.67914,0.40956,0.89458,0.98895,0.99085,0.99237,0.81096,0.71948,0.40625,0.89693,0.000416,0.000416,0.000416
18,468.632,0.66004,0.40226,0.88308,0.98487,0.9939,0.99251,0.82684,0.68366,0.37994,0.88571,0.000317,0.000317,0.000317
19,494.253,0.63737,0.38422,0.88012,0.98564,0.99085,0.99304,0.83548,0.66101,0.35793,0.87566,0.000218,0.000218,0.000218
20,518.087,0.62978,0.37764,0.87326,0.98189,0.99179,0.99125,0.83387,0.65676,0.36073,0.87573,0.000119,0.000119,0.000119
