epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4618,0.83338,2.93652,1.13188,0.3794,0.49884,0.38028,0.28512,0.82528,2.93004,1.09736,0.000254391,0.000254391,0.000254391
2,108.218,0.9024,2.33086,1.16248,0.54572,0.48097,0.4648,0.32416,0.94776,2.59307,1.20657,0.000485444,0.000485444,0.000485444
3,161.67,0.95361,2.18922,1.19668,0.60825,0.42066,0.44965,0.29991,1.01174,2.42512,1.27151,0.000691119,0.000691119,0.000691119
4,214.435,0.95814,1.99137,1.20061,0.37955,0.52405,0.50515,0.35854,0.95213,2.08728,1.19338,0.000654804,0.000654804,0.000654804
5,265.855,0.91212,1.77252,1.17955,0.44553,0.63305,0.57208,0.41431,0.89006,1.83985,1.14614,0.000616738,0.000616738,0.000616738
6,319.112,0.87286,1.60837,1.15561,0.59321,0.5457,0.59538,0.44326,0.86825,1.69307,1.15091,0.000578672,0.000578672,0.000578672
7,370.599,0.85309,1.50913,1.14226,0.59277,0.64142,0.62565,0.46102,0.87028,1.49412,1.14462,0.000540607,0.000540607,0.000540607
8,424.08,0.83941,1.42373,1.13069,0.629,0.64431,0.63881,0.48679,0.82136,1.34506,1.07381,0.000502541,0.000502541,0.000502541
9,474.86,0.81326,1.37576,1.11561,0.56282,0.63706,0.63376,0.48581,0.80067,1.33127,1.08486,0.000464476,0.000464476,0.000464476
10,525.657,0.78911,1.3014,1.08634,0.65357,0.63167,0.6555,0.49463,0.79662,1.27456,1.07355,0.000426411,0.000426411,0.000426411
11,580.887,0.76952,1.28589,1.0941,0.52288,0.72753,0.65738,0.50698,0.75773,1.24358,1.05323,0.000388345,0.000388345,0.000388345
12,632.97,0.72335,1.15818,1.05633,0.57552,0.71235,0.65737,0.50956,0.76489,1.16417,1.05167,0.00035028,0.00035028,0.00035028
13,684.753,0.69287,1.12015,1.02664,0.60593,0.75328,0.66722,0.52451,0.74464,1.10847,1.04062,0.000312214,0.000312214,0.000312214
14,734.187,0.65937,1.04053,1.01705,0.59474,0.76286,0.66897,0.53015,0.71114,1.07395,1.01863,0.000274148,0.000274148,0.000274148
15,783.861,0.65337,0.9696,1.0022,0.61944,0.74505,0.6812,0.52676,0.73547,1.04723,1.0263,0.000236083,0.000236083,0.000236083
16,832.375,0.60274,0.91314,0.97187,0.6004,0.70382,0.68878,0.55701,0.69177,1.03148,1.01899,0.000198018,0.000198018,0.000198018
17,883,0.58698,0.8874,0.97058,0.63972,0.72187,0.69046,0.55503,0.66938,0.98654,1.00066,0.000159952,0.000159952,0.000159952
18,932.166,0.56532,0.822,0.95444,0.67725,0.69834,0.6922,0.55861,0.66653,0.97147,1.00253,0.000121887,0.000121887,0.000121887
19,980.623,0.54298,0.79101,0.93824,0.58791,0.76293,0.68425,0.56003,0.65285,0.97988,0.997,8.3821e-05,8.3821e-05,8.3821e-05
20,1030.13,0.52774,0.77228,0.93072,0.59626,0.78223,0.68644,0.56353,0.64053,0.96635,0.98373,4.57555e-05,4.57555e-05,4.57555e-05
