epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.9032,0.83338,2.93652,1.13188,0.3794,0.49884,0.38028,0.28512,0.82528,2.93004,1.09736,0.000254391,0.000254391,0.000254391
2,111.815,0.9056,2.33337,1.16672,0.36652,0.61075,0.44582,0.31514,0.90977,3.05339,1.17661,0.000500612,0.000500612,0.000500612
3,165.108,0.96583,2.1944,1.20778,0.50913,0.45119,0.43131,0.28716,1.02849,2.72685,1.26884,0.000736683,0.000736683,0.000736683
4,218.193,0.97536,1.99222,1.21668,0.40558,0.55863,0.52037,0.35626,0.96075,1.98442,1.18564,0.000723321,0.000723321,0.000723321
5,271.4,0.93591,1.79819,1.18826,0.47306,0.58317,0.56606,0.39645,0.92977,1.88448,1.1861,0.000708095,0.000708095,0.000708095
6,324.459,0.90362,1.64036,1.1762,0.64048,0.5186,0.58285,0.42388,0.87778,1.63014,1.14792,0.000692869,0.000692869,0.000692869
7,376.046,0.90189,1.56209,1.16746,0.57649,0.70335,0.62775,0.4606,0.87082,1.41129,1.14512,0.000677643,0.000677643,0.000677643
8,430.566,0.90596,1.50161,1.17641,0.54517,0.61728,0.58111,0.42995,0.84857,1.47736,1.09978,0.000662417,0.000662417,0.000662417
9,481.642,0.87082,1.43558,1.15289,0.51626,0.61196,0.6007,0.44023,0.85757,1.42081,1.11945,0.00064719,0.00064719,0.00064719
10,534.795,0.85005,1.36554,1.1255,0.49542,0.65965,0.6119,0.46025,0.79582,1.37145,1.08436,0.000631964,0.000631964,0.000631964
11,585.365,0.84744,1.31603,1.12321,0.57988,0.60818,0.61421,0.44796,0.89102,1.32798,1.14589,0.000616738,0.000616738,0.000616738
12,636.785,0.8272,1.27579,1.11861,0.60572,0.65179,0.64133,0.48531,0.81421,1.16598,1.10316,0.000601512,0.000601512,0.000601512
13,689.915,0.81819,1.236,1.11405,0.6208,0.70787,0.67059,0.50474,0.83869,1.15687,1.10189,0.000586286,0.000586286,0.000586286
14,740.974,0.79488,1.20089,1.09831,0.57238,0.67896,0.63297,0.48424,0.76223,1.16223,1.05861,0.000571059,0.000571059,0.000571059
15,793.534,0.7812,1.17932,1.09235,0.67237,0.66342,0.67017,0.50821,0.77628,1.08808,1.05984,0.000555833,0.000555833,0.000555833
16,843.801,0.75432,1.13473,1.08176,0.52195,0.74957,0.66581,0.51863,0.77085,1.13488,1.06351,0.000540607,0.000540607,0.000540607
17,896.818,0.75149,1.11303,1.08034,0.57764,0.69823,0.66548,0.51743,0.75599,1.04577,1.05912,0.000525381,0.000525381,0.000525381
18,948.356,0.74722,1.09392,1.07672,0.57109,0.72684,0.67358,0.51512,0.7547,1.08258,1.05953,0.000510155,0.000510155,0.000510155
19,1000.33,0.71825,1.05995,1.06024,0.59328,0.67934,0.67438,0.5216,0.75937,1.06353,1.05357,0.000494928,0.000494928,0.000494928
20,1053.27,0.72995,1.05839,1.06453,0.60796,0.74095,0.68765,0.54028,0.73939,1.00452,1.04034,0.000479702,0.000479702,0.000479702
21,1104.58,0.70356,1.03987,1.04904,0.57005,0.76746,0.68677,0.53885,0.72772,1.00292,1.04228,0.000464476,0.000464476,0.000464476
22,1157.45,0.71144,1.02573,1.04932,0.65416,0.67586,0.68125,0.53724,0.70136,1.00005,1.02765,0.00044925,0.00044925,0.00044925
23,1208.86,0.69824,0.99296,1.04979,0.59548,0.69943,0.69074,0.54525,0.71167,0.98148,1.02189,0.000434024,0.000434024,0.000434024
24,1262.25,0.68007,0.9763,1.0355,0.60316,0.78156,0.70121,0.55531,0.71578,0.94009,1.02146,0.000418797,0.000418797,0.000418797
25,1313.85,0.67842,0.94346,1.03086,0.61726,0.73963,0.69229,0.54754,0.68701,0.97031,1.00969,0.000403571,0.000403571,0.000403571
26,1365.3,0.65266,0.93387,1.02698,0.63319,0.76931,0.68478,0.54102,0.71613,0.93247,1.0258,0.000388345,0.000388345,0.000388345
27,1417.13,0.65778,0.89345,1.015,0.61552,0.74925,0.70505,0.55446,0.68993,0.9409,1.0025,0.000373119,0.000373119,0.000373119
28,1467.64,0.65539,0.8835,1.02011,0.63303,0.74484,0.67774,0.53892,0.69687,0.94611,1.02225,0.000357893,0.000357893,0.000357893
29,1520.54,0.63347,0.87939,1.01071,0.63467,0.76231,0.69815,0.55741,0.66894,0.91589,0.99917,0.000342666,0.000342666,0.000342666
30,1572.88,0.64728,0.88143,1.01364,0.68931,0.73148,0.7142,0.58059,0.67767,0.92963,1.01525,0.00032744,0.00032744,0.00032744
31,1626.43,0.60745,0.83677,0.99573,0.62757,0.74428,0.69545,0.55636,0.67881,0.92136,1.00326,0.000312214,0.000312214,0.000312214
32,1677.48,0.62586,0.84959,0.99854,0.62786,0.75782,0.69715,0.56482,0.65553,0.89714,0.98693,0.000296988,0.000296988,0.000296988
