epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.093,1.59011,2.37348,1.79548,0.38217,0.57528,0.45668,0.21176,1.77861,2.49142,2.21742,0.000552035,0.000552035,0.000552035
2,232.415,1.4907,1.7818,1.65609,0.66241,0.50287,0.52306,0.23459,1.92738,2.57331,2.33214,0.00105287,0.00105287,0.00105287
3,336.868,1.51918,1.59484,1.65542,0.68362,0.44406,0.5115,0.22366,2.0221,1.82394,2.34372,0.00149869,0.00149869,0.00149869
4,439.412,1.47064,1.41394,1.61654,0.73245,0.56329,0.62642,0.30805,1.83486,1.6305,2.27119,0.00141945,0.00141945,0.00141945
5,545.877,1.44687,1.33048,1.59199,0.75386,0.67238,0.73685,0.40641,1.62525,1.22903,1.97963,0.00133693,0.00133693,0.00133693
6,647.976,1.42393,1.27189,1.55658,0.78535,0.64516,0.7348,0.39662,1.65456,1.20936,1.91926,0.00125442,0.00125442,0.00125442
7,746.488,1.36288,1.17571,1.51575,0.82337,0.76068,0.82558,0.5013,1.43692,0.98007,1.71608,0.0011719,0.0011719,0.0011719
8,849.334,1.32285,1.12758,1.49153,0.84355,0.71775,0.80981,0.46558,1.44227,1.02084,1.74409,0.00108938,0.00108938,0.00108938
9,952.696,1.29282,1.02846,1.4678,0.84877,0.71158,0.813,0.4857,1.44375,0.97064,1.72505,0.00100687,0.00100687,0.00100687
10,1051.44,1.28127,1.02055,1.46189,0.90089,0.78093,0.86898,0.5267,1.36481,0.85398,1.67149,0.000924352,0.000924352,0.000924352
11,1160.35,1.27289,0.82791,1.61893,0.85901,0.79135,0.8781,0.53912,1.35065,0.83427,1.69776,0.000841835,0.000841835,0.000841835
12,1273.38,1.23006,0.76211,1.57553,0.90781,0.81969,0.8983,0.55778,1.32509,0.78971,1.62076,0.000759318,0.000759318,0.000759318
13,1370.01,1.19751,0.71923,1.54894,0.92625,0.8343,0.90617,0.56382,1.31186,0.71717,1.62594,0.000676802,0.000676802,0.000676802
14,1468.59,1.17926,0.67847,1.53563,0.91527,0.85863,0.9187,0.57942,1.26867,0.70015,1.56346,0.000594286,0.000594286,0.000594286
15,1569.8,1.14113,0.64196,1.5054,0.92951,0.81668,0.90623,0.57047,1.26899,0.68907,1.57157,0.000511769,0.000511769,0.000511769
16,1669.14,1.12685,0.62063,1.48752,0.92748,0.8503,0.91139,0.58328,1.2801,0.65231,1.58231,0.000429253,0.000429253,0.000429253
17,1766.71,1.08468,0.58093,1.45398,0.92848,0.84711,0.92062,0.58468,1.24083,0.6294,1.55273,0.000346736,0.000346736,0.000346736
18,1863.64,1.05358,0.5533,1.43338,0.94194,0.86557,0.92261,0.59245,1.23972,0.61187,1.53262,0.00026422,0.00026422,0.00026422
19,1970.59,1.03793,0.53058,1.41426,0.94566,0.85889,0.9315,0.60555,1.20834,0.58816,1.51954,0.000181703,0.000181703,0.000181703
20,2066.8,1.00698,0.51308,1.3922,0.94616,0.86968,0.93447,0.61061,1.19214,0.58196,1.49451,9.91865e-05,9.91865e-05,9.91865e-05
