epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.1607,2.42505,3.80009,2.14126,0.00284,0.82857,0.49625,0.30976,1.35412,3.33041,1.35479,0.00014,0.00014,0.00014
2,26.4225,1.66099,2.83122,1.55448,0.00284,0.82857,0.49309,0.27298,1.78196,3.4143,1.48585,0.00028515,0.00028515,0.00028515
3,32.1234,1.73687,2.48953,1.502,0.00284,0.82857,0.42456,0.21838,1.5936,3.32008,1.39277,0.00041446,0.00041446,0.00041446
4,35.9844,1.59213,2.15677,1.44463,0.00284,0.82857,0.55579,0.26696,1.989,3.33895,1.30186,0.00052793,0.00052793,0.00052793
5,41.4086,1.60972,2.21712,1.40123,0.40267,0.4,0.40567,0.24463,1.86481,3.44507,1.36425,0.00062556,0.00062556,0.00062556
6,46.3087,1.69374,2.4515,1.491,0.69533,0.26107,0.43269,0.26233,1.67681,3.50226,1.67685,0.00070735,0.00070735,0.00070735
7,49.6374,1.64161,2.31812,1.42748,0.68569,0.2,0.29069,0.15778,2.51542,3.81802,1.87132,0.0007733,0.0007733,0.0007733
8,53.1706,1.56823,2.09269,1.40235,0.49966,0.31388,0.41994,0.19263,2.19972,3.578,1.94708,0.00082341,0.00082341,0.00082341
9,58.2408,1.50109,2.05849,1.35796,0.35656,0.22857,0.27756,0.11918,2.19872,3.30387,1.66522,0.00085768,0.00085768,0.00085768
10,61.8128,1.60812,2.05058,1.4026,0.73033,0.37143,0.46591,0.20723,2.18438,3.49163,1.64962,0.00087611,0.00087611,0.00087611
11,80.4722,1.54713,2.53856,1.44575,0.84949,0.64528,0.71835,0.40326,1.55467,2.34465,1.34972,0.0008787,0.0008787,0.0008787
12,90.8433,1.59042,2.53194,1.42776,0.95986,0.68334,0.74625,0.34109,1.983,2.20757,1.73783,0.00086545,0.00086545,0.00086545
13,96.818,1.58778,2.40931,1.46702,0.89044,0.69692,0.7576,0.40636,1.65943,2.35062,1.47807,0.000812,0.000812,0.000812
14,101.87,1.51847,2.35629,1.37942,0.88711,0.68571,0.7589,0.4798,1.11497,2.11992,1.12919,0.000713,0.000713,0.000713
15,106.319,1.44749,2.24652,1.33715,0.95826,0.65598,0.74603,0.45412,1.29041,2.08678,1.15873,0.000614,0.000614,0.000614
16,110.051,1.4729,2.11813,1.33329,0.8869,0.77143,0.77901,0.45461,1.72389,2.00944,1.20938,0.000515,0.000515,0.000515
17,114.319,1.33911,2.03061,1.25373,0.92856,0.74272,0.77926,0.47396,1.77336,1.81526,1.23381,0.000416,0.000416,0.000416
18,119.838,1.33114,2.06026,1.28758,0.9212,0.74286,0.80699,0.51605,1.55705,1.55035,1.17852,0.000317,0.000317,0.000317
19,123.449,1.25417,1.94906,1.24683,1,0.71337,0.81436,0.55953,1.32835,1.50135,1.12859,0.000218,0.000218,0.000218
20,126.816,1.20543,1.91852,1.22014,1,0.76362,0.82463,0.59352,1.31464,1.53188,1.11096,0.000119,0.000119,0.000119
