epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.0747,1.93905,3.71053,1.92663,0.00547,0.46429,0.07492,0.02047,1.97173,3.91123,2.03966,2.222e-05,2.222e-05,2.222e-05
2,2.99136,1.87908,3.6551,2.00548,0.00596,0.5,0.08863,0.02966,1.88644,3.9128,1.9479,5.28003e-05,5.28003e-05,5.28003e-05
3,4.18492,1.71955,3.65284,1.70074,0.00865,0.4747,0.21052,0.10732,1.82508,3.8953,1.86038,8.00809e-05,8.00809e-05,8.00809e-05
4,5.41915,1.77573,3.47376,1.8209,0.01376,0.51339,0.35752,0.18222,1.78968,3.88095,1.781,0.000104062,0.000104062,0.000104062
5,6.5876,1.70676,3.31845,1.85536,0.01841,0.5625,0.40345,0.17246,1.73409,3.86115,1.7326,0.000124743,0.000124743,0.000124743
6,7.86014,1.55598,2.77009,1.75258,0.01968,0.54167,0.39553,0.1665,1.69413,3.82329,1.70077,0.000142125,0.000142125,0.000142125
7,9.48264,1.52545,2.53499,1.65516,0.02015,0.54167,0.40016,0.17137,1.64592,3.79262,1.66768,0.000156207,0.000156207,0.000156207
8,10.9767,1.54367,2.28359,1.68751,0.02082,0.54167,0.38189,0.17898,1.59978,3.73957,1.65235,0.000166989,0.000166989,0.000166989
9,12.7809,1.64293,2.26021,1.6932,0.02125,0.52381,0.3644,0.18878,1.58025,3.67406,1.62929,0.000174471,0.000174471,0.000174471
10,13.8888,1.52652,2.30484,1.66005,0.02226,0.54167,0.36521,0.1954,1.55683,3.6101,1.6064,0.000178654,0.000178654,0.000178654
11,17.0203,1.53038,2.28565,1.82877,0.02252,0.55208,0.39222,0.22219,1.49531,3.46242,1.57267,0.000179538,0.000179538,0.000179538
12,18.7715,1.61969,1.98833,1.68608,0.86976,0.46429,0.40881,0.23981,1.48235,3.40404,1.573,0.000177121,0.000177121,0.000177121
13,19.8992,1.43232,2.03307,1.72101,0.90145,0.12862,0.41482,0.24975,1.49493,3.31404,1.60192,0.000171405,0.000171405,0.000171405
14,21.0491,1.46478,2.16824,1.77657,0.92012,0.22646,0.39598,0.24288,1.49072,3.28651,1.58801,0.000162389,0.000162389,0.000162389
15,22.128,1.58489,1.87953,1.75695,0.91135,0.24671,0.4112,0.23681,1.50837,3.20434,1.58689,0.000150074,0.000150074,0.000150074
16,24.2104,1.6109,1.94047,1.73487,0.91224,0.26657,0.45588,0.24778,1.52851,3.17806,1.60048,0.000134459,0.000134459,0.000134459
17,25.8712,1.44371,1.68136,1.77357,0.89822,0.24118,0.51174,0.2654,1.57973,3.14226,1.65533,0.000115544,0.000115544,0.000115544
18,27.585,1.38325,1.68125,1.59269,0.89732,0.25589,0.48291,0.25595,1.58269,3.11791,1.66208,9.33296e-05,9.33296e-05,9.33296e-05
19,29.4835,1.36536,1.648,1.56975,0.89688,0.26123,0.48431,0.25896,1.5739,3.08959,1.65365,6.78154e-05,6.78154e-05,6.78154e-05
20,30.6432,1.26464,1.52405,1.56573,0.89669,0.32699,0.48494,0.26215,1.57286,3.05391,1.64779,3.90017e-05,3.90017e-05,3.90017e-05
