epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.1649,1.23295,3.00533,1.3504,0.53007,0.31318,0.30573,0.20053,1.23784,2.68786,1.41724,0.000173884,0.000173884,0.000173884
2,88.3527,1.24452,2.12317,1.34777,0.51497,0.44636,0.40798,0.23992,1.3396,2.33499,1.47668,0.000331931,0.000331931,0.000331931
3,132.091,1.24067,1.9317,1.34697,0.59433,0.49453,0.51335,0.31261,1.31567,2.28258,1.47385,0.00047262,0.00047262,0.00047262
4,175.158,1.24094,1.80827,1.33388,0.57016,0.41188,0.43436,0.25683,1.31169,2.19731,1.47582,0.000447889,0.000447889,0.000447889
5,218.437,1.20504,1.65476,1.30514,0.66406,0.5292,0.56997,0.36149,1.29625,1.82135,1.41252,0.000421852,0.000421852,0.000421852
6,263.063,1.20352,1.59324,1.30549,0.6609,0.60147,0.618,0.38993,1.23909,1.66085,1.3788,0.000395815,0.000395815,0.000395815
7,307.701,1.1577,1.51282,1.28398,0.62745,0.54281,0.56772,0.35103,1.28201,1.79515,1.42998,0.000369778,0.000369778,0.000369778
8,351.531,1.16081,1.4417,1.27301,0.69471,0.60531,0.63133,0.40762,1.21939,1.56198,1.37494,0.000343741,0.000343741,0.000343741
9,394.981,1.13438,1.37099,1.25901,0.81245,0.54369,0.64976,0.41035,1.23286,1.52972,1.37124,0.000317704,0.000317704,0.000317704
10,437.698,1.12792,1.31868,1.25791,0.73111,0.59824,0.6637,0.41971,1.19495,1.4468,1.35608,0.000291667,0.000291667,0.000291667
11,482.054,1.14533,1.39798,1.30429,0.71284,0.63068,0.67167,0.43254,1.2008,1.3997,1.34138,0.00026563,0.00026563,0.00026563
12,523.714,1.11683,1.292,1.28258,0.7894,0.60907,0.69401,0.45554,1.1784,1.31535,1.32548,0.000239593,0.000239593,0.000239593
13,565.687,1.11212,1.23525,1.27756,0.73136,0.67085,0.71007,0.46456,1.17795,1.28696,1.31707,0.000213556,0.000213556,0.000213556
14,606.118,1.07129,1.1656,1.25283,0.73951,0.62101,0.69485,0.46034,1.15833,1.28061,1.30701,0.000187519,0.000187519,0.000187519
15,646.7,1.06065,1.12593,1.23081,0.75964,0.6686,0.71925,0.46933,1.15683,1.21597,1.31095,0.000161482,0.000161482,0.000161482
16,689.143,1.04031,1.06204,1.22988,0.74028,0.67405,0.71633,0.46969,1.15911,1.20078,1.31504,0.000135445,0.000135445,0.000135445
17,731.804,1.03058,1.02202,1.21152,0.73826,0.69233,0.73731,0.48388,1.15046,1.17303,1.298,0.000109408,0.000109408,0.000109408
18,772.083,1.00476,0.99376,1.20001,0.7491,0.69296,0.74471,0.491,1.14795,1.15251,1.29589,8.3371e-05,8.3371e-05,8.3371e-05
19,815.22,1.00309,0.96823,1.19485,0.8282,0.64794,0.74046,0.49024,1.13707,1.13663,1.29424,5.7334e-05,5.7334e-05,5.7334e-05
20,857.387,0.98152,0.94243,1.18793,0.73328,0.718,0.75269,0.49642,1.13087,1.13456,1.28587,3.1297e-05,3.1297e-05,3.1297e-05
