epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.159,1.36195,2.3657,1.0575,0.51011,0.14162,0.32795,0.21531,1.23008,2.52942,0.96708,0.00043342,0.00043342,0.00043342
2,29.2849,1.20106,1.25042,1.00283,0.87074,0.13432,0.42426,0.29477,1.19482,2.58222,0.97048,0.000839776,0.000839776,0.000839776
3,43.832,1.15732,1.09705,0.99462,0.6536,0.29355,0.47248,0.32559,1.20478,2.26093,0.99924,0.00120157,0.00120157,0.00120157
4,58.0162,1.10746,0.99713,0.9738,0.85275,0.59807,0.7529,0.51793,1.14907,1.52124,0.98513,0.00141945,0.00141945,0.00141945
5,72.0812,1.11523,0.92781,0.98032,0.77651,0.75578,0.84257,0.50875,1.298,1.14562,1.04951,0.00133693,0.00133693,0.00133693
6,83.3753,1.05381,0.86631,0.96491,0.81966,0.80482,0.88293,0.6403,1.0631,0.9712,0.96268,0.00125442,0.00125442,0.00125442
7,95.8799,1.04459,0.81059,0.95341,0.85196,0.90545,0.9344,0.69981,0.98393,0.80896,0.93666,0.0011719,0.0011719,0.0011719
8,111.928,0.98528,0.78942,0.94672,0.92034,0.86277,0.94262,0.69182,0.98933,0.80367,0.93867,0.00108938,0.00108938,0.00108938
9,124.296,0.96475,0.75303,0.93856,0.91778,0.90117,0.95566,0.70906,0.98321,0.7563,0.94302,0.00100687,0.00100687,0.00100687
10,138.85,0.9723,0.72863,0.93726,0.91805,0.92243,0.95551,0.71064,0.97773,0.72376,0.94444,0.000924352,0.000924352,0.000924352
11,155.978,0.95662,0.76878,0.93173,0.90806,0.83482,0.93699,0.70701,0.95898,0.76531,0.93907,0.000841835,0.000841835,0.000841835
12,168.717,0.9286,0.72999,0.92333,0.91759,0.89239,0.96143,0.71373,0.95924,0.69901,0.94187,0.000759318,0.000759318,0.000759318
13,182.26,0.90708,0.69262,0.91805,0.92728,0.93752,0.96285,0.72254,0.9457,0.6927,0.93965,0.000676802,0.000676802,0.000676802
14,195.876,0.89988,0.67308,0.90824,0.91488,0.93943,0.96796,0.71431,0.96244,0.66037,0.93326,0.000594286,0.000594286,0.000594286
15,208.725,0.88696,0.64928,0.91085,0.94823,0.91623,0.96675,0.75141,0.90881,0.63896,0.92123,0.000511769,0.000511769,0.000511769
16,221.981,0.86342,0.6254,0.90376,0.93854,0.90719,0.97121,0.74136,0.9019,0.62162,0.92572,0.000429253,0.000429253,0.000429253
17,232.611,0.85757,0.6024,0.90117,0.94893,0.92827,0.97402,0.7401,0.91665,0.62559,0.92196,0.000346736,0.000346736,0.000346736
18,244.797,0.83357,0.59218,0.8987,0.94718,0.93299,0.97343,0.749,0.88799,0.59612,0.91921,0.00026422,0.00026422,0.00026422
19,258.615,0.8172,0.57124,0.89289,0.96276,0.9324,0.97331,0.75548,0.86987,0.58291,0.91087,0.000181703,0.000181703,0.000181703
20,271.791,0.81606,0.56159,0.88652,0.9668,0.92792,0.97285,0.76113,0.85803,0.58037,0.9088,9.91865e-05,9.91865e-05,9.91865e-05
